time_hr,delta_ch2,delta_ch3,I_ch2,I_ch3,attn_ch2_pct,attn_ch3_pct
0.0,0.003645,0.004192,207.405,207.397,0.0219,0.0261
1.0,0.004666,0.00524,197.87,197.861,0.0281,0.0327
2.0,0.006014,0.006581,209.639,209.629,0.0362,0.041
3.0,0.007691,0.008258,222.742,222.73,0.0463,0.0515
4.0,0.009878,0.010354,646.104,646.071,0.0594,0.0645
5.0,0.011445,0.011905,196.353,196.342,0.0689,0.0742
6.0,0.014288,0.014672,223.496,223.483,0.086,0.0914
7.0,0.018189,0.018235,211.281,211.272,0.1094,0.1136
8.0,0.023109,0.022553,642.064,642.055,0.139,0.1405
9.0,0.029196,0.025823,207.772,207.803,0.1756,0.1609
10.0,0.036632,0.031901,192.624,192.665,0.2203,0.1987
11.0,0.046219,0.039824,192.478,192.535,0.2778,0.248
12.0,0.0577,0.048334,651.363,651.662,0.3468,0.3009
13.0,0.071114,0.054161,170.569,170.724,0.4272,0.3371
14.0,0.086933,0.064221,173.217,173.43,0.522,0.3996
15.0,0.104393,0.078893,190.366,190.626,0.6265,0.4907
16.0,0.121014,0.092517,630.2,631.157,0.7259,0.5752
17.0,0.140843,0.109034,202.986,203.327,0.8443,0.6775
18.0,0.164462,0.129407,184.544,184.882,0.9852,0.8036
19.0,0.188592,0.150535,176.796,177.145,1.1289,0.9342
20.0,0.211374,0.172165,663.488,664.81,1.2644,1.0677
21.0,0.232879,0.187047,193.876,194.333,1.3922,1.1595
22.0,0.253255,0.21069,197.972,198.39,1.513,1.3051
23.0,0.273229,0.236303,175.715,176.016,1.6314,1.4625
24.0,0.286242,0.259275,630.869,631.542,1.7084,1.6036
25.0,0.292876,0.271097,198.14,198.284,1.7477,1.6761
26.0,0.30341,0.28908,179.428,179.471,1.8099,1.7863
27.0,0.314746,0.307944,201.775,201.724,1.8769,1.9017
28.0,0.323093,0.327982,628.643,628.015,1.9262,2.0242
29.0,0.327649,0.336743,191.804,191.56,1.9531,2.0777
30.0,0.333372,0.348523,187.18,186.869,1.9869,2.1496
31.0,0.340151,0.36156,223.167,222.706,2.0269,2.2291
32.0,0.343177,0.370573,636.511,634.956,2.0447,2.284
33.0,0.345983,0.37619,180.338,179.865,2.0613,2.3183
34.0,0.351305,0.383987,207.895,207.315,2.0927,2.3657
35.0,0.355934,0.390527,177.835,177.316,2.1199,2.4055
36.0,0.357028,0.39606,639.245,637.202,2.1264,2.4392
37.0,0.358267,0.400797,166.965,166.394,2.1337,2.468
38.0,0.360381,0.404738,176.212,175.59,2.1461,2.492
39.0,0.36173,0.407756,198.581,197.858,2.1541,2.5103
40.0,0.362094,0.409391,646.823,644.416,2.1562,2.5202
41.0,0.362422,0.410523,198.199,197.452,2.1582,2.5271
42.0,0.362933,0.411822,193.98,193.239,2.1612,2.535
43.0,0.36337,0.413415,191.253,190.509,2.1637,2.5447
44.0,0.363589,0.414756,614.23,611.795,2.165,2.5529
45.0,0.363698,0.415679,185.105,184.361,2.1657,2.5585
46.0,0.363807,0.416433,188.907,188.141,2.1663,2.563
47.0,0.363953,0.417062,211.179,210.316,2.1672,2.5669
48.0,0.364063,0.417523,200.707,199.882,2.1678,2.5697
