time_hr,delta_ch2,delta_ch3,I_ch2,I_ch3,attn_ch2_pct,attn_ch3_pct
0.0,0.003645,0.004192,207.405,207.397,0.0219,0.0261
1.0,0.004898,0.005474,197.868,197.858,0.0295,0.0341
2.0,0.006574,0.007142,209.632,209.622,0.0396,0.0445
3.0,0.00881,0.009307,222.727,222.716,0.053,0.058
4.0,0.011841,0.011848,646.027,646.011,0.0713,0.0738
5.0,0.014129,0.014156,196.321,196.315,0.085,0.0882
6.0,0.018821,0.018422,223.435,223.431,0.1132,0.1148
7.0,0.024926,0.023808,211.195,211.198,0.1499,0.1483
8.0,0.032739,0.030537,641.692,641.735,0.1969,0.1902
9.0,0.03885,0.034937,207.652,207.685,0.2336,0.2176
10.0,0.050635,0.043915,192.461,192.521,0.3044,0.2734
11.0,0.065128,0.055803,192.259,192.344,0.3913,0.3473
12.0,0.082011,0.070203,650.41,650.774,0.4925,0.4368
13.0,0.09319,0.087429,170.343,170.37,0.5594,0.5436
14.0,0.115741,0.107576,172.917,172.962,0.6943,0.6685
15.0,0.141491,0.130559,189.941,190.013,0.8482,0.8107
16.0,0.163149,0.155967,628.604,628.665,0.9773,0.9677
17.0,0.177304,0.183166,202.541,202.389,1.0617,1.1355
18.0,0.20406,0.211343,184.104,183.94,1.2209,1.3091
19.0,0.232747,0.239501,176.327,176.165,1.3914,1.4822
20.0,0.255936,0.266545,661.711,660.91,1.5289,1.6482
21.0,0.268625,0.28169,193.459,193.19,1.6041,1.741
22.0,0.289086,0.306049,197.545,197.214,1.7252,1.8901
23.0,0.305636,0.326931,175.372,175.025,1.8231,2.0178
24.0,0.31782,0.344828,629.671,628.182,1.8951,2.1271
25.0,0.323812,0.354424,197.771,197.256,1.9305,2.1856
26.0,0.333212,0.368063,179.106,178.589,1.986,2.2687
27.0,0.340915,0.379028,201.458,200.832,2.0314,2.3355
28.0,0.345161,0.387851,627.808,625.675,2.0564,2.3892
29.0,0.347727,0.394844,191.573,190.868,2.0716,2.4318
30.0,0.351641,0.400336,186.974,186.266,2.0946,2.4652
31.0,0.355316,0.404656,222.963,222.109,2.1163,2.4915
32.0,0.357714,0.408026,635.955,633.475,2.1304,2.512
33.0,0.358745,0.410619,180.2,179.48,2.1365,2.5277
34.0,0.359861,0.412602,207.787,206.945,2.1431,2.5398
35.0,0.361099,0.414072,177.78,177.056,2.1504,2.5487
36.0,0.361659,0.414455,639.067,636.471,2.1537,2.551
37.0,0.362097,0.41479,166.926,166.249,2.1562,2.5531
38.0,0.362718,0.415971,176.188,175.467,2.1599,2.5602
39.0,0.363287,0.418081,198.563,197.731,2.1632,2.5731
40.0,0.363674,0.420383,646.761,643.975,2.1655,2.587
41.0,0.363912,0.421334,198.181,197.319,2.1669,2.5928
42.0,0.363889,0.421013,193.969,193.128,2.1668,2.5909
43.0,0.363684,0.420662,191.25,190.422,2.1656,2.5887
44.0,0.363567,0.420316,614.23,611.583,2.1649,2.5866
45.0,0.363748,0.420005,185.104,184.312,2.166,2.5847
46.0,0.363958,0.419756,188.905,188.102,2.1672,2.5832
47.0,0.364102,0.419594,211.177,210.283,2.168,2.5822
48.0,0.364192,0.419501,200.705,199.858,2.1686,2.5817
