time_hr,flux_uGy_hr,valve_state,N_ch2,N_ch3,OD_ch2,OD_ch3,delta_ch2,delta_ch3,I_ch2,I_ch3,attn_ch2_pct,attn_ch3_pct
0.0,207.451,0,0.01,0.01,0.03,0.03,0.003645,0.004192,207.405,207.397,0.0219,0.0261
1.0,197.926,0,0.013438,0.013059,0.040315,0.039178,0.004898,0.005474,197.868,197.858,0.0295,0.0341
2.0,209.715,0,0.018037,0.017038,0.054112,0.051114,0.006574,0.007142,209.632,209.622,0.0396,0.0445
3.0,222.845,0,0.024171,0.022202,0.072514,0.066606,0.00881,0.009307,222.727,222.716,0.053,0.058
4.0,646.488,1,0.032485,0.028264,0.097456,0.084793,0.011841,0.011848,646.027,646.011,0.0713,0.0738
5.0,196.488,0,0.038762,0.033769,0.116286,0.101308,0.014129,0.014156,196.321,196.315,0.085,0.0882
6.0,223.688,0,0.051636,0.043945,0.154907,0.131836,0.018821,0.018422,223.435,223.431,0.1132,0.1148
7.0,211.512,0,0.068384,0.056793,0.205153,0.17038,0.024926,0.023808,211.195,211.198,0.1499,0.1483
8.0,642.958,1,0.08982,0.072845,0.26946,0.218535,0.032739,0.030537,641.692,641.735,0.1969,0.1902
9.0,208.138,0,0.106585,0.083341,0.319755,0.250024,0.03885,0.034937,207.652,207.685,0.2336,0.2176
10.0,193.049,0,0.138915,0.104759,0.416744,0.314278,0.050635,0.043915,192.461,192.521,0.3044,0.2734
11.0,193.014,0,0.178678,0.133119,0.536034,0.399357,0.065128,0.055803,192.259,192.344,0.3913,0.3473
12.0,653.629,1,0.224995,0.167468,0.674984,0.502404,0.082011,0.070203,650.41,650.774,0.4925,0.4368
13.0,171.301,0,0.255665,0.208561,0.766994,0.625683,0.09319,0.087429,170.343,170.37,0.5594,0.5436
14.0,174.126,0,0.317533,0.256623,0.9526,0.769869,0.115741,0.107576,172.917,172.962,0.6943,0.6685
15.0,191.566,0,0.388178,0.311449,1.164533,0.934348,0.141491,0.130559,189.941,190.013,0.8482,0.8107
16.0,634.808,1,0.447596,0.372058,1.342788,1.116173,0.163149,0.155967,628.604,628.665,0.9773,0.9677
17.0,204.714,0,0.486432,0.436941,1.459296,1.310824,0.177304,0.183166,202.541,202.389,1.0617,1.1355
18.0,186.38,0,0.559835,0.504157,1.679505,1.512472,0.20406,0.211343,184.104,183.94,1.2209,1.3091
19.0,178.815,0,0.638537,0.571329,1.915612,1.713987,0.232747,0.239501,176.327,176.165,1.3914,1.4822
20.0,671.985,1,0.702157,0.635841,2.106471,1.907523,0.255936,0.266545,661.711,660.91,1.5289,1.6482
21.0,196.613,0,0.736969,0.67197,2.210908,2.015911,0.268625,0.28169,193.459,193.19,1.6041,1.741
22.0,201.013,0,0.793103,0.730079,2.379308,2.190238,0.289086,0.306049,197.545,197.214,1.7252,1.8901
23.0,178.629,0,0.838508,0.779892,2.515523,2.339676,0.305636,0.326931,175.372,175.025,1.8231,2.0178
24.0,641.834,1,0.871934,0.822586,2.615801,2.467759,0.31782,0.344828,629.671,628.182,1.8951,2.1271
25.0,201.664,0,0.888372,0.845476,2.665117,2.536427,0.323812,0.354424,197.771,197.256,1.9305,2.1856
26.0,182.735,0,0.914162,0.878014,2.742485,2.634042,0.333212,0.368063,179.106,178.589,1.986,2.2687
27.0,205.635,0,0.935296,0.90417,2.805887,2.71251,0.340915,0.379028,201.458,200.832,2.0314,2.3355
28.0,640.99,1,0.946945,0.925217,2.840835,2.775651,0.345161,0.387851,627.808,625.675,2.0564,2.3892
29.0,195.625,0,0.953983,0.9419,2.861948,2.825699,0.347727,0.394844,191.573,190.868,2.0716,2.4318
30.0,190.974,0,0.964722,0.955001,2.894167,2.865004,0.351641,0.400336,186.974,186.266,2.0946,2.4652
31.0,227.784,0,0.974804,0.965305,2.924412,2.895916,0.355316,0.404656,222.963,222.109,2.1163,2.4915
32.0,649.798,1,0.981383,0.973345,2.94415,2.920036,0.357714,0.408026,635.955,633.475,2.1304,2.512
33.0,184.134,0,0.984212,0.97953,2.952636,2.93859,0.358745,0.410619,180.2,179.48,2.1365,2.5277
34.0,212.338,0,0.987274,0.98426,2.961821,2.952779,0.359861,0.412602,207.787,206.945,2.1431,2.5398
35.0,181.687,0,0.990669,0.987768,2.972008,2.963303,0.361099,0.414072,177.78,177.056,2.1504,2.5487
36.0,653.133,1,0.992207,0.98868,2.976621,2.966041,0.361659,0.414455,639.067,636.471,2.1537,2.551
37.0,170.605,0,0.993408,0.989479,2.980224,2.968436,0.362097,0.41479,166.926,166.249,2.1562,2.5531
38.0,180.077,0,0.995111,0.992298,2.985332,2.976893,0.362718,0.415971,176.188,175.467,2.1599,2.5602
39.0,202.953,0,0.996672,0.99733,2.990015,2.991989,0.363287,0.418081,198.563,197.731,2.1632,2.5731
40.0,661.077,1,0.997734,1.002822,2.993201,3.008467,0.363674,0.420383,646.761,643.975,2.1655,2.587
41.0,202.571,0,0.998388,1.00509,2.995165,3.015269,0.363912,0.421334,198.181,197.319,2.1669,2.5928
42.0,198.265,0,0.998325,1.004324,2.994974,3.012972,0.363889,0.421013,193.969,193.128,2.1668,2.5909
43.0,195.483,0,0.99776,1.003488,2.993281,3.010465,0.363684,0.420662,191.25,190.422,2.1656,2.5887
44.0,627.822,1,0.997441,1.002662,2.992324,3.007987,0.363567,0.420316,614.23,611.583,2.1649,2.5866
45.0,189.202,0,0.997937,1.00192,2.993811,3.005759,0.363748,0.420005,185.104,184.312,2.166,2.5847
46.0,193.09,0,0.998514,1.001326,2.995543,3.003979,0.363958,0.419756,188.905,188.102,2.1672,2.5832
47.0,215.857,0,0.998909,1.000941,2.996728,3.002822,0.364102,0.419594,211.177,210.283,2.168,2.5822
48.0,205.154,0,0.999154,1.000718,2.997462,3.002153,0.364192,0.419501,200.705,199.858,2.1686,2.5817
